COUNTY,ADDRESS TO,STREET 1,STREET 2,CITY,STATE,ZIP,PHONE
Oldham County,District & County Clerk,PO Box 360,"",Vega,TX,79092,""
Orange County,Orange County Elections Administration,123 S 6th Street,"",Orange,TX,77630,""
Palo Pinto County, Elections Administrator,PO Box 275,"",Palo Pinto,TX,76484,""
Panola County,Elections Administrator,522 W. College St.,"",Carthage,TX,75633,""
Parker County,Elections Administrator,1112 Santa Fe Dr,"",Weatherford,TX,76086,""
Parmer County,County Clerk,PO Box 356,"",Farwell,TX,79325,""
Pecos County,County Clerk,200 S Nelson,"",Fort Stockton,TX,79735,""
Polk County,Polk County Clerk,PO Drawer 2119,"",Livingston,TX,77351,""
Potter County,Elections Administration,PO Box 9618,"",Amarillo,TX,79105,""
Presidio County,District & County Clerk,PO Box 789,"",Marfa,TX,79843,""
Rains County,County Clerk,PO Box 433,"",Emory,TX,75440,""
Randall County,Randall County Elections Administrator,1604 5th Ave.,PO Box 1654,Canyon,TX,79015,""
Reagan County,District & County Clerk,PO Box 100,"",Big Lake,TX,76932,""
Real County,District & County Clerk,PO Box 750,"",Leakey,TX,78873,""
Red River County,County Clerk,200 N. Walnut,"",Clarksville,TX,75426,""
Reeves County,County Clerk,PO Box 867,"",Pecos,TX,79772,""
Refugio County,"Elections Administrator, Refugio County, Texas",PO Box 452,"",Refugio,TX,78377,""
Roberts County,County Clerk & Election Official,PO Box 477,"",Miami,TX,79059,""
Robertson County,Election Administrator,PO Box 819,"",Franklin,TX,77856,""
Rockwall County,Elections Administrator,915 Whitmore Dr. #D,"",Rockwall,TX,75087,""
Runnels County,County Clerk,PO Box 189,"",Ballinger,TX,76821,""
Rusk County,Elections Administrator,PO Box 668,"",Henderson,TX,75653,""
Sabine County,County Clerk,PO Box 580,"",Hemphill,TX,75948,""
San Augustine County,Elections Administrator,PO Box 873,"",San Augustine,TX,75972,""
San Jacinto County,Elections Administrator,51 East Pine Avenue,Room A1,Coldspring,TX,77331,""
San Patricio County,Elections Administrator,PO Box 579,"",Sinton,TX,78387,""
San Saba County,District & County Clerk,"Courthouse, 500 E Wallace","",San Saba,TX,76877,""
Schleicher County,Elections Administrator,PO Box 846,"",Eldorado,TX,76936,""
Scurry County,County Clerk,"1806  25th St., Ste. 300","",Snyder,TX,79549,""
Shackelford County,District & County Clerk,PO Box 2109,"",Albany,TX,76430,""
Shelby County,County Clerk,PO Box 1987,"",Center,TX,75935,""
Sherman County,County Clerk,PO Box 270,"",Stratford,TX,79084,""
Smith County,Elections Administrator,302 E Ferguson St,"",Tyler,TX,75702,""
Somervell County,"",Elections Administrator,P.O. Box 1355,Glen Rose,TX,76043,""
Starr County,Voter Registrar,100 N FM 3167 Ste 206,"",Rio Grande City,TX,78582,""
Stephens County,County Clerk,Stephens County Courthouse,200 W Walker St,Breckenridge,TX,76424,""
Sterling County,District & County Clerk,PO Box 55,"",Sterling City,TX,76951,""
Stonewall County,County Clerk,PO Drawer P,"",Aspermont,TX,79502,""
Sutton County,County Clerk,300 E Oak St Ste 3,"",Sonora,TX,76950,""
Swisher County,Elections Administrator,"119 S Maxwell Ave, Rm 107","",Tulia,TX,79088,""
Tarrant County,Elections Administrator,Tarrant County Elections,PO Box 961011,Fort Worth,TX,76161,""
Taylor County,Elections Administrator,PO Box 3318,"",Abilene,TX,79604,""
Terrell County,District & County Clerk,PO Box 410,"",Sanderson,TX,79848,""
Terry County,Joint Elections Administrator,507 W. Main,(Terry County Annex),Brownfield,TX,79316,""
Throckmorton County,District & County Clerk,PO Box 309,"",Throckmorton,TX,76483,""
Titus County,Elections Administrator,110 S Madison St Ste C,"",Mt. Pleasant,TX,75455,""
Tom Green County,Elections Administrator,113 W Beauregard Ave,"",San Angelo,TX,76903,""
Travis County,Travis County Clerk - Elections Division,PO Box 149325,"",Austin,TX,78714,""
Trinity County,County Clerk,PO Box 456,"",Groveton,TX,75845,""
Tyler County,County Clerk,116 S Charlton Street,"",Woodville,TX,75979,""
Upshur County,County Clerk,PO Box 730,"",Gilmer,TX,75644,""
Upton County,Elections Administrator,PO Box 65,"",Rankin,TX,79778,""
Uvalde County,Tax Assessor-Collector,PO Box 1687,"",Uvalde,TX,78802,""
Val Verde County,County Clerk,PO Box 1267,"",Del Rio,TX,78841,""
Van Zandt County,County Clerk,121 E Dallas St Ste 202,"",Canton,TX,75103,""
Victoria County,Elections Administrator,2805 N. Navarro St. Ste 500,"",Victoria,TX,77901,""
Walker County,Voter Registration/Elections,1301 Sam Houston Ave Rm 100,"",Huntsville,TX,77340,""
Waller County,Waller County Clerk - Elections Division,"836 Austin Street, Suite 217","",Hempstead,TX,77445,""
Ward County,County Clerk,400 S Allen St Ste 101,"",Monahans,TX,79756,""
Washington County,Elections Administrator,100 E Main Ste 102,"",Brenham,TX,77833,""
Webb County,Elections Administration Office,PO Drawer 29,"",Laredo,TX,78042,""
Wharton County,Election Administrator,PO Box 390,"",Wharton,TX,77488,""
Wheeler County,County Clerk,PO Box 465,"",Wheeler,TX,79096,""
Wichita County,County Clerk,PO Box 1679,"",Wichita Falls,TX,76307,""
Wilbarger County,County Clerk,1700 Wilbarger St Rm 15,"",Vernon,TX,76384,""
Willacy County,Elections Administrator,190 N 3rd St,"",Raymondville,TX,78580,""
Williamson County,Elections Administrator,PO Box 209,"",Georgetown,TX,78627,""
Wilson County,County Clerk,PO Box 27,"",Floresville,TX,78114,""
Winkler County,Early Voting Clerk,P.O. Box 1007,"",Kermit,TX,79745,""
Wise County,Elections Administrator,PO Box 1597,"",Decatur,TX,76234,""
Wood County,Elections Administrator,PO Box 970,"",Quitman,TX,75783,""
Yoakum County,County Clerk,PO Box 309,"",Plains,TX,79355,""
Young County,Lauren Sullivan,516 4th St Rm B1,"",Graham,TX,76450,""
Zapata County,County Clerk,PO Box 789,"",Zapata,TX,78076,""
Zavala County,County Clerk,County Courthouse,200 East Uvalde Street,Crystal City,TX,78839,""
Beaver County,Beaver County Clerk,PO Box 392,"",Beaver,UT,84713,""
Box Elder County,Box Elder County Clerk,01 S. Main Street,"",Brigham City,UT,84302,""
Cache County,Cache County Clerk,179 North Main Street,Suite 102,Logan,UT,84321,""
Carbon County,Carbon County Clerk/Auditor,120 East Main,"",Price,UT,84501,""
Daggett County,Daggett County Clerk/Treasurer,PO Box 400,"",Manila,UT,84046,""
Davis County,Davis County Clerk/Auditor,PO Box 618,61 South Main Street,Farmington,UT,84025,""
Duchesne County,Duchesne County Clerk,P.O. Box 270,"",Duchesne,UT,84021,""
Emery County,Emery County Clerk,PO Box 907,"",Castle Dale,UT,84513,""
Garfield County,Garfield County Clerk/Auditor,PO Box 77,"",Panguitch,UT,84759,""
Grand County,Grand CountyClerk/Auditor,125 E. Center,"",Moab,UT,84532,""
Iron County,Iron County Clerk,PO Box 429,"",Parowan,UT,84761,""
Juab County,Juab County Clerk/Auditor,160 N. Main,"",Nephi,UT,84648,""
Kane County,Kane County Clerk/Auditor,76 North Main,"",Kanab,UT,84741,""
Millard County,Millard County Clerk,765 S Highway 99 Ste 6,"",Fillmore,UT,84631,""
Morgan County,Morgan County Clerk/Auditor,PO Box 886,"",Morgan,UT,84050,""
Piute County,Piute County Clerk/Auditor,PO Box 99,"",Junction U,UT,84740,""
Rich County,Rich County Clerk/Auditor,PO Box 218,"",Randolph,UT,84064,""
Salt Lake County,Salt Lake County Clerk-Elections Division,2001 S State St S1100,"",Salt lake City,UT,84190,""
San Juan County,San Juan County Clerk/Auditor,PO Box 338,"",Monticello,UT,84535,""
Sanpete County,Sanpete County Clerk,PO Box 100,"",Manti,UT,84642,""
Sevier County,"Sevier County Clerk, Elections Office",P.O.Box 607,"",Richfield,UT,84701,""
Summit County,Summit County Clerk,PO Box 128,"",Coalville,UT,84017,""
Tooele County,Tooele County Clerk,47 So. Main,Room #318,Tooele,UT,84074,""
Uintah County,Uintah County Clerk,147 East Main,"",Vernal,UT,84078,""
Utah County,Utah County Clerk,"100 East Center, Room 3100","",Provo,UT,84606,""
Wasatch County,Wasatch County Clerk,25 No. Main,"",Heber City,UT,84032,""
Washington County,Washington County Clerk,197 E. Tabernacle,"",St George,UT,84770,""
Wayne County,Wayne County Clerk,PO Box 189,"",Loa,UT,84747,""
Weber County,Weber County Clerk/Auditor,"2380 Washington Boulevard, Ste 320","",Ogden,UT,84401,""
Addison,Town Clerk,7099 VT RTE 22A,"",Addison,VT,05491,""
Albany,Town Clerk,PO Box 284,"",Albany,VT,05820,""
Alburgh,Town Clerk,1 North Main St,"",Alburgh,VT,05440,""
Andover,Town Clerk,953 Weston-Andover Rd,"",Andover,VT,05143,""
Arlington,Town Clerk,PO Box 304,"",Arlington,VT,05250,""
Athens,Town Clerk,56 Brookline Rd,"",Athens,VT,05143,""
Bakersfield,Town Clerk,PO Box 203,"",Bakersfield,VT,05441,""
Baltimore,Town Clerk,1902 Baltimore Rd,"",Baltimore,VT,05143,""
Barnard,Town Clerk,PO Box 274,"",Barnard,VT,05031,""
Barnet,Town Clerk,PO Box 15,"",Barnet,VT,05821,""
Barre City,City Clerk,PO Box 418,"",Barre,VT,05641,""
Barre Town,Town Clerk,PO Box 124,"",Websterville,VT,05678,""
Barton,Town Clerk,34 Main St,"",Barton,VT,05822,""
Belvidere,Town Clerk,3996 VT RTE 109,"",Belvidere,VT,05442,""
Bennington,Town Clerk,205 South St Ste 2,"",Bennington,VT,05201,""
Benson,Town Clerk,PO Box 163,"",Benson,VT,05731,""
Berkshire,Town Clerk,4454 Watertower Rd,"",Enosburg Falls,VT,05450,""
Berlin,Town Clerk,108 Shed Rd,"",Berlin,VT,05602,""
Bethel,Town Clerk,PO Box 404,"",Bethel,VT,05032,""
Bloomfield,Town Clerk,PO Box 336,"",North Stratford,NH,03590,""
Bolton,Town Clerk,3045 Roosevelt Hwy,"",Waterbury,VT,05676,""
Bradford,Town Clerk,PO Box 339,"",Bradford,VT,05033,""
Braintree,Town Clerk,932 VT Route 12A,"",Braintree,VT,05060,""
Brandon,Town Clerk,49 Center St,"",Brandon,VT,05733,""
Brattleboro,Town Clerk,230 Main St Ste 108,"",Brattleboro,VT,05301,""
Bridgewater,Town Clerk,7335 US Route 4,"",Bridgewater,VT,05034,""
Bridport,Town Clerk,PO Box 27,"",Bridport,VT,05734,""
Brighton,Town Clerk,PO Box 377,"",Island Pond,VT,05846,""
Bristol,Town Clerk,PO Box 249,"",Bristol,VT,05443,""
Brookfield,Town Clerk,PO Box 463,"",Brookfield,VT,05036,""
Brookline,Town Clerk,PO Box 403,"",Newfane,VT,05345,""
Brownington,Town Clerk,PO Box 66,"",Orleans,VT,05860,""
Brunswick,Town Clerk,994 VT Route 102,"",Brunswick,VT,05905,""
Burke,Town Clerk,212 School St,"",West Burke,VT,05871,""
Burlington,City Clerk,149 Church St,"",Burlington,VT,05401,""
Cabot,Town Clerk,PO Box 36,"",Cabot,VT,05647,""
Calais,Town Clerk,3120 Pekin Brook Rd,"",East Calais,VT,05650,""
Cambridge,Town Clerk,PO Box 143,"",Jeffersonville,VT,05464,""
Canaan,Town Clerk,PO Box 159,"",Canaan,VT,05903,""
Castleton,Town Clerk,PO Box 727,"",Castleton,VT,05735,""
Cavendish,Town Clerk,PO Box 126,"",Cavendish,VT,05142,""
Charleston,Town Clerk,5063 VT Route 105,"",West Charleston,VT,05872,""
Charlotte,Town Clerk,PO Box 119,"",Charlotte,VT,05445,""
Chelsea,Town Clerk,PO Box 266,"",Chelsea,VT,05038,""
Chester,Town Clerk,PO Box 370,"",Chester,VT,05143,""
Chittenden,Town Clerk,PO Box 89,"",Chittenden,VT,05737,""
Clarendon,Town Clerk,PO Box 30,"",Clarendon,VT,05759,""
Colchester,Town Clerk,PO Box 55,"",Colchester,VT,05446,""
Concord,Town Clerk,PO Box 317,"",Concord,VT,05824,""
Corinth,Town Clerk,PO Box 461,"",Corinth,VT,05039,""
Cornwall,Town Clerk,2629 Route 30,"",Cornwall,VT,05753,""
Coventry,Town Clerk,PO Box 104,"",Conventry,VT,05855,""
Craftsbury,Town Clerk,PO Box 55,"",Craftsbury,VT,05826,""
Danby,Town Clerk,PO Box 231,"",Danby,VT,05739,""
Danville,Town Clerk,PO Box 183,"",Danville,VT,05828,""
Derby,Town Clerk-Treasurer,PO Box 25,"",Derby,VT,05829,""
Dorset,Town Clerk,PO Box 24,"",East Dorset,VT,05253,""
Dover,Town Clerk,PO Box 527,"",West Dover,VT,05356,""
Dummerston,Town Clerk,1523 Middle Rd,"",E Dummerston,VT,05346,""
Duxbury,Town Clerk,5421 VT Route 100,"",Duxbury,VT,05676,""
East Haven,Town Clerk,PO Box 10,"",East Haven,VT,05837,""
East Montpelier,Town Clerk,PO Box 157,"",East Montpelier,VT,05651,""
Eden,Town Clerk,71 Old Schoolhouse Rd,"",Eden Mills,VT,05653,""
Elmore,Town Clerk,PO Box 123,"",Lake Elmore,VT,05657,""
Enosburgh,Town Clerk,PO Box 465,"",Enosburg Falls,VT,05450,""
Essex,Town Clerk,81 Main Street,"",Essex Junction,VT,05452,""
Fair Haven,Town Clerk,3 N Park Pl,"",Fair Haven,VT,05743,""
Fairfax,Town Clerk,PO Box 27,"",Fairfax,VT,05454,""
Fairfield,Town Clerk,PO Box 5,"",Fairfield,VT,05455,""
Fairlee,Town Clerk,PO Box 95,"",Fairlee,VT,05045,""
Fayston,Town of Fayston,866 N Fayston Rd,"",North Fayston,VT,05660,""
Ferrisburgh,Town Clerk,PO Box 6,"",Ferrisburgh,VT,05456,""
Fletcher,Town Clerk,215 Cambridge Rd,"",Cambridge,VT,05444,""
Franklin,Town Clerk,PO Box 82,"",Franklin,VT,05457,""
Georgia,Town Clerk,47 Town Common Rd N,"",St. Albans,VT,05478,""
Glover,Town Clerk,51 Bean Hill Rd,"",Glover,VT,05839,""
Goshen,Town Clerk,50 Carlisle Hill Rd,"",Goshen,VT,05733,""
Grafton,Town Clerk,PO Box 180,"",Grafton,VT,05146,""
Granby,Town Clerk,PO Box 56,"",Granby,VT,05840,""
Grand Isle,Town Clerk,PO Box 49,"",Grand Isle,VT,05458,""
Granville,Town Clerk,PO Box 66,"",Granville,VT,05747,""
Greensboro,Town Clerk,PO Box 119,"",Greensboro,VT,05841,""
Groton,Town Clerk,1476 Scott Highway,"",Groton,VT,05046,""
Guildhall,Town Clerk,PO Box 10,"",Guildhall,VT,05905,""
Guilford,Town Clerk,236 School Road,"",Guilford,VT,05301,""
Halifax,Town Clerk,PO Box 127,"",West Halifax,VT,05358,""
Hancock,Town Clerk,PO Box 100,"",Hancock,VT,05748,""
Hardwick,Town Clerk,PO Box 523,"",Hardwick,VT,05843,""
Hartford,Town Clerk,171 Bridge St,"",White River Junction,VT,05001,""
Hartland,Town Clerk,PO Box 349,"",Hartland,VT,05048,""
Highgate,Town Clerk,PO Box 189,"",Highgate Center,VT,05459,""
Hinesburg,Town Clerk,10632 Route 116,"",Hinesburg,VT,05461,""
Holland,Town Clerk,120 School Rd,"",Derby Line,VT,05830,""
Hubbardton,Town Clerk,1831 Monument Hill Rd,"",Castleton,VT,05735,""
Huntington,Town Clerk,4930 Main Road,"",Huntington,VT,05462,""
Hyde Park,Town Clerk,PO Box 98,"",Hyde Park,VT,05655,""
Ira,Town Clerk,PO Box 870,"",West Rutland,VT,05777,""
Irasburg,Town Clerk,PO Box 51,"",Irasburg,VT,05845,""
Isle La Motte,Town Clerk,PO Box 250,"",Isle La Motte,VT,05463,""
Jamaica,Town Clerk,PO Box 173,"",Jamaica,VT,05343,""
Jay,Town Clerk,1036 VT Route 242,"",Jay,VT,05859,""
Jericho,Town Clerk,PO Box 67,"",Jericho,VT,05465,""
Johnson,Town Clerk,PO Box 383,"",Johnson,VT,05656,""
Killington,Town Clerk,PO Box 429,"",Killington,VT,05751,""
Kirby,Town Clerk,346 Town Hall Rd,"",Lyndonville,VT,05851,""
Landgrove,Town Clerk,88 Landgrove Rd,"",Londonderry,VT,05148,""
Leicester,Town Clerk,44 Schoolhouse Rd,"",Leicester,VT,05733,""
Lemington,Town Clerk,2549 River Rd VT 102,"",Lemington,VT,05903,""
Lincoln,Town Clerk,62 Quaker St,"",Lincoln,VT,05443,""
Londonderry,Town Clerk,100 Old School St,"",South Londonderry,VT,05155,""
Lowell,Town Clerk,2170 VT Route 100,"",Lowell,VT,05847,""
Ludlow,Town Clerk,PO Box 307,"",Ludlow,VT,05149,""
Lunenburg,Town Clerk,PO Box 54,"",Lunenburg,VT,05906,""
Lyndon,Town Clerk,PO Box 167,"",Lyndonville,VT,05851,""
Maidstone,Town Clerk,PO Box 118,"",Guildhall,VT,05905,""
Manchester,Town Clerk,PO Box 830,"",Manchester Center,VT,05255,""
Marlboro,Town Clerk,PO Box E,"",Marlboro,VT,05344,""
Marshfield,Town Clerk,122 School St Rm 1,"",Marshfield,VT,05658,""
Mendon,Town Clerk,2282 US Route 4,"",Mendon,VT,05701,""
Middlebury,Town Clerk,94 Main St,"",Middlebury,VT,05753,""
Middlesex,Town Clerk,5 Church St,"",Middlesex,VT,05602,""
Middletown Springs,Town Clerk,PO Box 1232,"",Middletown Springs,VT,05757,""
Milton,Town Clerk,PO Box 18,"",Milton,VT,05468,""
Monkton,Town Clerk,PO Box 12,"",Monkton,VT,05469,""
Montgomery,Town Clerk,PO Box 356,"",Montgomery Center,VT,05471,""
Montpelier,City Clerk,Montpelier City Hall,39 Main St,Montpelier,VT,05602,""
Moretown,Town Clerk,19 Kaiser Drive,"",Waterbury,VT,05676,""
Morgan,Town Clerk,PO Box 45,"",Morgan,VT,05853,""
Morristown,Town Clerk,PO Box 748,"",Morrisville,VT,05661,""
Mount Holly,Town Clerk,PO Box 248,"",Mount Holly,VT,05758,""
Mount Tabor,Town Clerk,PO Box 245,"",Mount Tabor,VT,05739,""
New Haven,Town Clerk,78 North St,"",New Haven,VT,05472,""
Newark,Town Clerk,1336 Newark St,"",Newark,VT,05871,""
Newbury,Town Clerk,PO Box 126,"",Newbury,VT,05051,""
Newfane,Town Clerk,PO Box 36,"",Newfane,VT,05345,""
Newport City,Town Clerk,222 Main St,"",Newport,VT,05855,""
Newport Town,Town Clerk,PO Box 85,"",Newport Center,VT,05857,""
North Hero,Town Clerk,PO Box 38,"",North Hero,VT,05474,""
Northfield,Town Clerk,51 S Main St,"",Northfield,VT,05663,""
Norton,Town Clerk,PO Box 33,"",Norton,VT,05907,""
Norwich,Town Clerk,PO Box 376,"",Norwich,VT,05055,""
Orange,Town Clerk,PO Box 233,"",East Barre,VT,05649,""
Orwell,Town Clerk,PO Box 32,"",Orwell,VT,05760,""
Panton,Town Clerk,3176 Jersey St,"",Panton,VT,05491,""
Pawlet,Town Clerk,PO Box 128,"",Pawlet,VT,05761,""
Peacham,Town Clerk,PO Box 244,"",Peacham,VT,05862,""
Peru,Town Clerk,PO Box 127,"",Peru,VT,05152,""
Pittsfield,Town Clerk,PO Box 556,"",Pittsfield,VT,05762,""
Pittsford,Town Clerk,PO Box 10,"",Pittsford,VT,05763,""
Plainfield,Town Clerk,PO Box 217,"",Plainfield,VT,05667,""
Plymouth,Town Clerk,68 Town Office Rd,"",Plymouth,VT,05056,""
Pomfret,Town Clerk,5218 Pomfret Road,"",North Pomfret,VT,05053,""
Poultney,Town Clerk,9 Main St Ste 2,"",Poultney,VT,05764,""
Pownal,Town Clerk,PO Box 411,"",Pownal,VT,05261,""
Proctor,Town Clerk,45 Main St,"",Proctor,VT,05765,""
Putney,Town Clerk,PO Box 233,"",Putney,VT,05346,""
Randolph,Town Clerk,Drawer B,"",Randolph,VT,05060,""
Reading,Town Clerk,PO Box 72,"",Reading,VT,05062,""
Readsboro,Town Clerk,PO Box 187,"",Readsboro,VT,05350,""
Richford,Town Clerk,PO Box 236,"",Richford,VT,05476,""
Richmond,Town Clerk,PO Box 285,"",Richmond,VT,05477,""
Ripton,Town Clerk,PO Box 10,"",Ripton,VT,05766,""
Rochester,Town Clerk,PO Box 238,"",Rochester,VT,05767,""
Rockingham,Town Clerk,PO Box 339,"",Bellows Falls,VT,05101,""
Roxbury,Town Clerk,PO Box 53,"",Roxbury,VT,05669,""
Royalton,Town Clerk,PO Box 680,"",South Royalton,VT,05068,""
Rupert,Town Clerk,PO Box 140,"",West Rupert,VT,05776,""
Rutland City,Town Clerk,PO Box 969,"",Rutland City,VT,05701,""
Rutland Town,Town Clerk,PO Box 225,"",Center Rutland,VT,05736,""
Ryegate,Town Clerk,PO Box 332,"",Ryegate,VT,05042,""
Saint Albans City,City Clerk,PO Box 867,"",St. Albans,VT,05478,""
Saint Albans Town,Town Clerk,PO Box 37,"",St. Albans Bay,VT,05481,""
Saint George,Town Clerk,1 Barber Rd,"",St. George,VT,05495,""
Saint Johnsbury,Town Clerk,"51 Depot Square, Suite 101","",St. Johnsbury,VT,05819,""
Salisbury,Town Clerk,PO Box 66,"",Salisbury,VT,05769,""
Sandgate,Town Clerk,3266 Sandgate Rd,"",Sandgate,VT,05250,""
Searsburg,Town Clerk,PO Box 157,"",Wilmington,VT,05363,""
Shaftsbury,Town Clerk,PO Box 409,"",Shaftsbury,VT,05262,""
Sharon,Town Clerk,PO Box 250,"",Sharon,VT,05065,""
Sheffield,Town Clerk,PO Box 165,"",Sheffield,VT,05866,""
Shelburne,Town Clerk,PO Box 88,"",Shelburne,VT,05482,""
Sheldon,Town Clerk,PO Box 66,"",Sheldon,VT,05483,""
Shoreham,Town Clerk,297 Main St,"",Shoreham,VT,05770,""
Shrewsbury,Town Clerk,9823 Cold River Rd,"",Shrewsbury,VT,05738,""
South Burlington City,CityClerk,575 Dorset St,"",South Burlington,VT,05403,""
South Hero,Town Clerk,PO Box 175,"",South Hero,VT,05486,""
Springfield,Town Clerk,96 Main St,"",Springfield,VT,05156,""
Stamford,Town Clerk,986 Main Rd,"",Stamford,VT,05352,""
Stannard,Town Clerk,PO Box 94,"",Greensboro Bend,VT,05842,""
Starksboro,Town Clerk,PO Box 91,"",Starksboro,VT,05487,""
Stockbridge,Town Clerk,PO Box 39,"",Stockbridge,VT,05772,""
Stowe,Town Clerk,PO Box 248,"",Stowe,VT,05672,""
Strafford,Town Clerk,PO Box 27,"",Strafford,VT,05072,""
Stratton,Town Clerk,9 W Jamaica Rd,"",Stratton,VT,05360,""
Sudbury,Town Clerk,36 Blacksmith Ln,"",Sudbury,VT,05733,""
Sunderland,Town Clerk,PO Box 295,"",East Arlington,VT,05252,""
Sutton,Town Clerk,167 Underpass Road,"",Sutton,VT,05867,""
Swanton,Town Clerk,PO Box 711,"",Swanton,VT,05488,""
Thetford,Town Clerk,PO Box 126,"",Thetford Center,VT,05075,""
Tinmouth,Town Clerk,515 N End Rd,"",Tinmouth,VT,05773,""
Topsham,Town Clerk,PO Box 69,"",Topsham,VT,05076,""
Townshend,Town Clerk,PO Box 223,"",Townshend,VT,05353,""
Troy,Town Clerk,142 Main Street,"",North Troy,VT,05859,""
Tunbridge,Town Clerk,PO Box 6,"",Tunbridge,VT,05077,""
Underhill,Town Clerk,PO Box 32,"",Underhill Center,VT,05490,""
Vergennes,Vergennes City Clerk,PO Box 35,"",Vergennes,VT,05491,""
Vernon,Town Clerk,567 Governor Hunt Rd,"",Vernon,VT,05354,""
Vershire,Town Clerk,6894 VT Rte 113,"",Vershire,VT,05079,""
Victory,Town Clerk,PO Box 609,"",North Concord,VT,05858,""
Waitsfield,Town Clerk,9 Bridge St,"",Waitsfield,VT,05673,""
Walden,Town Clerk,12 VT Route 215,"",Walden,VT,05873,""
Wallingford,Town Clerk,75 School Street,"",Wallingford,VT,05773,""
Waltham,Town Clerk,PO Box 175,"",Vergennes,VT,05491,""
Wardsboro,Town Clerk,PO Box 48,"",Wardsboro,VT,05355,""
Warren,Town Clerk,PO Box 337,"",Warren,VT,05674,""
Washington,Town Clerk,2895 VT Route 110,"",Washington,VT,05675,""
Waterbury,Town Clerk,51 South Main Street,"",Waterbury,VT,05676,""
Waterford,Town Clerk,PO Box 56,"",Lower Waterford,VT,05848,""
Waterville,Town Clerk,PO Box 31,"",Waterville,VT,05492,""
Weathersfield,Town Clerk,PO Box 550,"",Ascutney,VT,05030,""
Wells,Town Clerk,PO Box 585,"",Wells,VT,05774,""
West Fairlee,Town Clerk,870 VT Route 113,"",West Fairlee,VT,05083,""
West Haven,Town Clerk,2919 Main Rd,"",West Haven,VT,05743,""
West Rutland,City Clerk,35 Marble Street,"",West Rutland,VT,05777,""
West Windsor,Town Clerk,PO Box 6,"",Brownsville,VT,05037,""
Westfield,Town Clerk,38 School St,"",Westfield,VT,05874,""
Westford,Town Clerk,1713 Vt Route 128,"",Westford,VT,05494,""
Westminster,Town Clerk,PO Box 147,"",Westminster,VT,05158,""
Westmore,Town Clerk,54 Hinton Hill Rd,"",Orleans,VT,05860,""
Weston,Town Clerk,PO Box 98,"",Weston,VT,05161,""
Weybridge,Town Clerk,1727 Quaker Village Rd,"",Weybridge,VT,05753,""
Wheelock,Town Clerk,PO Box 1328,"",Lyndonville,VT,05851,""
Whiting,Town Clerk,29 S Main St,"",Whiting,VT,05778,""
Whitingham,Town Clerk,PO Box 529,"",Jacksonville,VT,05342,""
Williamstown,Town Clerk,PO Box 646,"",Williamstown,VT,05679,""
Williston,Town Clerk,7900 Williston Rd,"",Williston,VT,05495,""
Wilmington,Town Clerk,PO Box 217,"",Wilmington,VT,05363,""
Windham,Town Clerk,5976 Windham Hill Rd,"",Windham,VT,05359,""
Windsor,Town Clerk,29 Union Street,"",Windsor,VT,05089,""
Winhall,Town Clerk,PO Box 389,"",Bondville,VT,05340,""
Winooski,Town Clerk,27 W Allen St,"",Winooski,VT,05404,""
Wolcott,Town Clerk,PO Box 100,"",Wolcott,VT,05680,""
Woodbury,Town Clerk,PO Box 10,"",Woodbury,VT,05681,""
Woodford,Town Clerk,1391 VT Route 9,"",Woodford,VT,05201,""
Woodstock,Town Clerk,31 The Green,"",Woodstock,VT,05091,""
Worcester,Town Clerk,PO Box 161,"",Worcester,VT,05682,""
All regions,Supervisor of Elections,PO Box 1499,"",St. Thomas,VI,00804,""
Accomack County,General Registrar,PO Box 97,"",Accomack,VA,23301,""
Albemarle County,General Registrar,PMB 404,536 Pantops Center,Charlottesville,VA,22911,""
Alleghany County,General Registrar,110 Rosedale Ave,Ste D,Covington,VA,24426,""
Amelia County,General Registrar,PO Box 481,"",Amelia,VA,23002,""
Amherst County,General Registrar,PO Box 550,"",Amherst,VA,24521,""
Appomattox County,General Registrar,PO Box 8,"",Appomattox,VA,24522,""
Arlington County,General Registrar,Office of Voter Registration,2100 Clarendon Blvd Ste 320,Arlington,VA,22201,""
Augusta County,General Registrar,PO Box 590,"",Verona,VA,24482,""
Bath County,General Registrar,PO Box 157,"",Warm Springs,VA,24484,""
Bedford County,General Registrar,122 E Main St Ste 204,"",Bedford,VA,24523,""
Bland County,General Registrar,PO Box 535,"",Bland,VA,24315,""
Botetourt County,General Registrar,PO Box 62,"",Fincastle,VA,24090,""
Brunswick County,General Registrar,100 Tobacco St Rm 103,"",Lawrenceville,VA,23868,""
Buchanan County,General Registrar,PO Box 975,"",Grundy,VA,24614,""
Buckingham County,General Registrar,PO Box 222,"",Buckingham,VA,23921,""
Campbell County,General Registrar,PO Box 103,"",Rustburg,VA,24588,""
Caroline County,General Registrar,PO Box 304,"",Bowling Green,VA,22427,""
Carroll County,General Registrar,Governmental Center,"605-3 Pine St., Room B110",Hillsville,VA,24343,""
Charles City County,General Registrar,PO Box 146,"",Charles City,VA,23030,""
Charlotte County,General Registrar,PO Box 118,"",Charlotte Court House,VA,23923,""
Chesterfield County,General Registrar,PO Box 1690,"",Chesterfield,VA,23832,""
City of Alexandria,Office of Voter Registration & Elections,132 North Royal Street,Suite 100,Alexandria,VA,22314,""
City of Bedford,General Registrar,215 E Main St,"",Bedford,VA,24523,""
